(u'wednesday may 23 1990', '1990-05-23')
(u'friday march 16 1979', '1979-03-16')
(u'sunday january 21 1996', '1996-01-21')
(u'tuesday december 11 1979', '1979-12-11')
(u'dec 19 1972', '1972-12-19')
(u'11.12.17', '2017-12-11')
(u'20 feb 2008', '2008-02-20')
(u'19 07 09', '2009-07-19')
(u'28 dec 2001', '2001-12-28')
(u'jun 2 1973', '1973-06-02')
(u'sunday june 14 1987', '1987-06-14')
(u'27.03.18', '2018-03-27')
(u'tuesday may 25 1993', '1993-05-25')
(u'15 october 2004', '2004-10-15')
(u'12.12.16', '2016-12-12')
(u'24 november 2004', '2004-11-24')
(u'wednesday november 15 1978', '1978-11-15')
(u'august 21 2014', '2014-08-21')
(u'3 march 2006', '2006-03-03')
(u'tuesday september 22 1981', '1981-09-22')
(u'jan 16 1972', '1972-01-16')
(u'saturday october 26 1985', '1985-10-26')
(u'tuesday november 6 1990', '1990-11-06')
(u'friday march 12 1982', '1982-03-12')
(u'thursday august 11 1988', '1988-08-11')
(u'thursday june 4 1992', '1992-06-04')
(u'saturday june 28 1980', '1980-06-28')
(u'july 20 2013', '2013-07-20')
(u'22 may 2001', '2001-05-22')
(u'august 23 2016', '2016-08-23')
(u'18 april 2000', '2000-04-18')
(u'wednesday march 28 1979', '1979-03-28')
(u'apr 21 1973', '1973-04-21')
(u'saturday april 14 1984', '1984-04-14')
(u'10 dec 1996', '1996-12-10')
(u'17 july 2012', '2012-07-17')
(u'25 12 09', '2009-12-25')
(u'february 11 2015', '2015-02-11')
(u'18 apr 2007', '2007-04-18')
(u'thursday march 2 1995', '1995-03-02')
(u'saturday july 25 1987', '1987-07-25')
(u'saturday july 2 1977', '1977-07-02')
(u'6/15/70', '1970-06-15')
(u'15 feb 2008', '2008-02-15')
(u'27 december 1999', '1999-12-27')
(u'sunday january 16 1983', '1983-01-16')
(u'november 20 1975', '1975-11-20')
(u'1/29/71', '1971-01-29')
(u'monday june 29 1992', '1992-06-29')
(u'friday november 27 1981', '1981-11-27')
(u'20 november 2011', '2011-11-20')
(u'may 7 1973', '1973-05-07')
(u'friday november 12 1993', '1993-11-12')
(u'thursday august 27 1992', '1992-08-27')
(u'12 aug 2002', '2002-08-12')
(u'monday october 15 1979', '1979-10-15')
(u'31 october 1998', '1998-10-31')
(u'monday february 8 1982', '1982-02-08')
(u'tuesday july 25 1989', '1989-07-25')
(u'tuesday december 30 1980', '1980-12-30')
(u'18 04 10', '2010-04-18')
(u'saturday march 11 1995', '1995-03-11')
(u'10/16/70', '1970-10-16')
(u'thursday july 22 1993', '1993-07-22')
(u'14 july 2011', '2011-07-14')
(u'march 7 1975', '1975-03-07')
(u'18 march 2011', '2011-03-18')
(u'7 oct 2002', '2002-10-07')
(u'31 july 2006', '2006-07-31')
(u'14 february 2006', '2006-02-14')
(u'7/13/71', '1971-07-13')
(u'thursday february 15 1990', '1990-02-15')
(u'6 november 2010', '2010-11-06')
(u'25 mar 2004', '2004-03-25')
(u'05 jan 2007', '2007-01-05')
(u'24 march 2000', '2000-03-24')
(u'wednesday august 17 1988', '1988-08-17')
(u'29 october 2010', '2010-10-29')
(u'saturday august 14 1976', '1976-08-14')
(u'30 september 2011', '2011-09-30')
(u'15 08 10', '2010-08-15')
(u'saturday august 21 1993', '1993-08-21')
(u'2 january 1999', '1999-01-02')
(u'16 january 2005', '2005-01-16')
(u'12/23/70', '1970-12-23')
(u'monday october 17 1977', '1977-10-17')
(u'2 05 09', '2009-05-02')
(u'tuesday january 24 1984', '1984-01-24')
(u'monday december 18 1989', '1989-12-18')
(u'10 sep 2007', '2007-09-10')
(u'10 jul 2003', '2003-07-10')
(u'oct 5 1972', '1972-10-05')
(u'friday june 9 1989', '1989-06-09')
(u'monday february 9 1981', '1981-02-09')
(u'monday november 18 1991', '1991-11-18')
(u'friday march 3 1989', '1989-03-03')
(u'saturday november 7 1987', '1987-11-07')
(u'03 mar 2008', '2008-03-03')
(u'wednesday april 14 1993', '1993-04-14')
(u'19 nov 2000', '2000-11-19')
(u'friday february 8 1980', '1980-02-08')
(u'thursday january 24 1985', '1985-01-24')
(u'monday november 9 1992', '1992-11-09')
(u'28 june 1999', '1999-06-28')
(u'tuesday november 13 1990', '1990-11-13')
(u'17 feb 2008', '2008-02-17')
(u'thursday november 5 1987', '1987-11-05')
(u'sunday august 9 1981', '1981-08-09')
(u'wednesday october 31 1984', '1984-10-31')
(u'saturday april 3 1993', '1993-04-03')
(u'2 august 2011', '2011-08-02')
(u'27 april 2006', '2006-04-27')
(u'sunday august 31 1980', '1980-08-31')
(u'18.02.17', '2017-02-18')
(u'july 3 2013', '2013-07-03')
(u'02 may 2001', '2001-05-02')
(u'tuesday april 4 1995', '1995-04-04')
(u'4 august 2012', '2012-08-04')
(u'2 jan 2003', '2003-01-02')
(u'5 november 1999', '1999-11-05')
(u'feb 18 1972', '1972-02-18')
(u'tuesday august 22 1995', '1995-08-22')
(u'2 may 2011', '2011-05-02')
(u'monday august 6 1990', '1990-08-06')
(u'january 30 2016', '2016-01-30')
(u'tuesday april 12 1988', '1988-04-12')
(u'friday september 28 1990', '1990-09-28')
(u'8 03 09', '2009-03-08')
(u'monday april 8 1991', '1991-04-08')
(u'friday august 24 1979', '1979-08-24')
(u'21 may 2000', '2000-05-21')
(u'june 25 1974', '1974-06-25')
(u'march 28 1975', '1975-03-28')
(u'16 june 2000', '2000-06-16')
(u'saturday march 2 1996', '1996-03-02')
(u'october 25 1975', '1975-10-25')
(u'wednesday march 7 1990', '1990-03-07')
(u'10/19/70', '1970-10-19')
(u'6 november 2011', '2011-11-06')
(u'9 august 2011', '2011-08-09')
(u'jan 8 1974', '1974-01-08')
(u'wednesday may 27 1987', '1987-05-27')
(u'sunday january 24 1982', '1982-01-24')
(u'12 nov 2001', '2001-11-12')
(u'monday january 30 1995', '1995-01-30')
(u'15 apr 1997', '1997-04-15')
(u'6 march 2012', '2012-03-06')
(u'28 jan 1998', '1998-01-28')
(u'4 jan 1998', '1998-01-04')
(u'10 september 2005', '2005-09-10')
(u'wednesday june 3 1981', '1981-06-03')
(u'4 may 2006', '2006-05-04')
(u'june 11 2015', '2015-06-11')
(u'31 january 2000', '2000-01-31')
(u'august 24 2014', '2014-08-24')
(u'monday july 8 1985', '1985-07-08')
(u'friday june 21 1985', '1985-06-21')
(u'1 nov 1997', '1997-11-01')
(u'nov 3 1972', '1972-11-03')
(u'thursday august 3 1995', '1995-08-03')
(u'january 14 1975', '1975-01-14')
(u'6 december 1998', '1998-12-06')
(u'may 14 2016', '2016-05-14')
(u'12/3/70', '1970-12-03')
(u'wednesday july 2 1986', '1986-07-02')
(u'11/1/70', '1970-11-01')
(u'sunday november 9 1986', '1986-11-09')
(u'monday september 1 1986', '1986-09-01')
(u'4/1/70', '1970-04-01')
(u'saturday january 22 1977', '1977-01-22')
(u'28 may 2000', '2000-05-28')
(u'thursday september 23 1993', '1993-09-23')
(u'19 aug 2003', '2003-08-19')
(u'tuesday june 16 1987', '1987-06-16')
(u'19 november 2004', '2004-11-19')
(u'07 may 2001', '2001-05-07')
(u'22 oct 2007', '2007-10-22')
(u'thursday august 30 1984', '1984-08-30')
(u'monday january 3 1994', '1994-01-03')
(u'jul 27 1973', '1973-07-27')
(u'wednesday august 7 1985', '1985-08-07')
(u'saturday august 6 1994', '1994-08-06')
(u'28 06 10', '2010-06-28')
(u'may 21 2015', '2015-05-21')
(u'17 february 2006', '2006-02-17')
(u'wednesday october 19 1983', '1983-10-19')
(u'monday september 11 1989', '1989-09-11')
(u'19 oct 2006', '2006-10-19')
(u'october 12 2013', '2013-10-12')
(u'october 4 2015', '2015-10-04')
(u'saturday march 12 1988', '1988-03-12')
(u'sunday april 13 1986', '1986-04-13')
(u'18 june 2006', '2006-06-18')
(u'thursday july 14 1994', '1994-07-14')
(u'7 february 2011', '2011-02-07')
(u'sunday may 26 1991', '1991-05-26')
(u'saturday may 7 1977', '1977-05-07')
(u'monday january 23 1989', '1989-01-23')
(u'5 nov 1996', '1996-11-05')
(u'20 december 2004', '2004-12-20')
(u'wednesday june 8 1988', '1988-06-08')
(u'18.07.17', '2017-07-18')
(u'tuesday february 8 1977', '1977-02-08')
(u'monday april 24 1989', '1989-04-24')
(u'tuesday november 20 1979', '1979-11-20')
(u'monday january 9 1978', '1978-01-09')
(u'5 february 2012', '2012-02-05')
(u'october 8 2014', '2014-10-08')
(u'september 2 2016', '2016-09-02')
(u'21 apr 1997', '1997-04-21')
(u'feb 5 1972', '1972-02-05')
(u'11/20/71', '1971-11-20')
(u'thursday october 1 1981', '1981-10-01')
(u'august 23 2016', '2016-08-23')
(u'thursday march 27 1986', '1986-03-27')
(u'may 1 2016', '2016-05-01')
(u'monday august 1 1988', '1988-08-01')
(u'jan 24 1972', '1972-01-24')
(u'20 may 2008', '2008-05-20')
(u'21 august 2005', '2005-08-21')
(u'9 jul 1998', '1998-07-09')
(u'11 dec 1996', '1996-12-11')
(u'11 apr 2004', '2004-04-11')
(u'thursday june 29 1978', '1978-06-29')
(u'monday october 20 1986', '1986-10-20')
(u'saturday april 8 1989', '1989-04-08')
(u'january 24 1976', '1976-01-24')
(u'09 aug 2000', '2000-08-09')
(u'2 jan 1997', '1997-01-02')
(u'friday june 17 1977', '1977-06-17')
(u'7 june 2012', '2012-06-07')
(u'jan 29 1974', '1974-01-29')
(u'saturday june 4 1988', '1988-06-04')
(u'tuesday september 18 1979', '1979-09-18')
(u'08 may 2007', '2007-05-08')
(u'sunday january 14 1979', '1979-01-14')
(u'apr 2 1973', '1973-04-02')
(u'20 12 09', '2009-12-20')
(u'thursday november 26 1987', '1987-11-26')
(u'31 july 2006', '2006-07-31')
(u'6 december 2004', '2004-12-06')
(u'31 july 2012', '2012-07-31')
(u'monday december 29 1986', '1986-12-29')
(u'4 04 09', '2009-04-04')
(u'saturday june 24 1995', '1995-06-24')
(u'12 03 10', '2010-03-12')
(u'thursday july 28 1983', '1983-07-28')
(u'june 9 1975', '1975-06-09')
(u'02 apr 2001', '2001-04-02')
(u'november 14 2014', '2014-11-14')
(u'sunday january 27 1985', '1985-01-27')
(u'19 apr 1997', '1997-04-19')
(u'14 may 1998', '1998-05-14')
(u'dec 27 1973', '1973-12-27')
(u'31 march 2000', '2000-03-31')
(u'09 jun 2008', '2008-06-09')
(u'thursday february 7 1985', '1985-02-07')
(u'7/24/70', '1970-07-24')
(u'sunday august 17 1986', '1986-08-17')
(u'friday april 27 1990', '1990-04-27')
(u'21 june 1999', '1999-06-21')
(u'saturday september 23 1978', '1978-09-23')
(u'may 23 1972', '1972-05-23')
(u'july 22 2013', '2013-07-22')
(u'3 feb 1997', '1997-02-03')
(u'saturday january 5 1991', '1991-01-05')
(u'08 mar 2008', '2008-03-08')
(u'april 29 1974', '1974-04-29')
(u'22 jun 2003', '2003-06-22')
(u'16 december 2010', '2010-12-16')
(u'wednesday may 10 1989', '1989-05-10')
(u'friday september 8 1989', '1989-09-08')
(u'february 23 2015', '2015-02-23')
(u'wednesday august 31 1977', '1977-08-31')
(u'19 feb 2001', '2001-02-19')
(u'thursday april 14 1994', '1994-04-14')
(u'wednesday june 29 1994', '1994-06-29')
(u'12 apr 2001', '2001-04-12')
(u'3 may 1998', '1998-05-03')
(u'23 oct 2002', '2002-10-23')
(u'saturday march 27 1982', '1982-03-27')
(u'11 feb 2007', '2007-02-11')
(u'sunday october 20 1991', '1991-10-20')
(u'thursday may 27 1982', '1982-05-27')
(u'monday november 7 1977', '1977-11-07')
(u'05 nov 2006', '2006-11-05')
(u'february 5 2015', '2015-02-05')
(u'14 october 2012', '2012-10-14')
(u'14 aug 2008', '2008-08-14')
(u'15.02.17', '2017-02-15')
(u'08.08.17', '2017-08-08')
(u'thursday april 18 1996', '1996-04-18')
(u'8 august 2005', '2005-08-08')
(u'dec 24 1973', '1973-12-24')
(u'7/8/71', '1971-07-08')
(u'may 20 1975', '1975-05-20')
(u'11 aug 2000', '2000-08-11')
(u'june 17 2016', '2016-06-17')
(u'wednesday march 17 1993', '1993-03-17')
(u'october 12 2014', '2014-10-12')
(u'monday august 13 1979', '1979-08-13')
(u'20 jan 2004', '2004-01-20')
(u'04 apr 2001', '2001-04-04')
(u'tuesday august 24 1976', '1976-08-24')
(u'wednesday february 27 1985', '1985-02-27')
(u'4 february 2005', '2005-02-04')
(u'sunday november 12 1995', '1995-11-12')
(u'30 may 2004', '2004-05-30')
(u'sunday august 14 1994', '1994-08-14')
(u'7 06 10', '2010-06-07')
(u'18 november 1998', '1998-11-18')
(u'15 feb 1998', '1998-02-15')
(u'15 october 2010', '2010-10-15')
(u'23 november 2011', '2011-11-23')
(u'05 sep 2001', '2001-09-05')
(u'05.08.18', '2018-08-05')
(u'23 mar 2001', '2001-03-23')
(u'29 august 2012', '2012-08-29')
(u'saturday december 16 1995', '1995-12-16')
(u'17 12 09', '2009-12-17')
(u'tuesday july 14 1987', '1987-07-14')
(u'monday august 20 1990', '1990-08-20')
(u'28 apr 2003', '2003-04-28')
(u'august 2 2014', '2014-08-02')
(u'23 august 2011', '2011-08-23')
(u'december 7 2012', '2012-12-07')
(u'30 aug 2001', '2001-08-30')
(u'october 6 2014', '2014-10-06')
(u'26.07.18', '2018-07-26')
(u'saturday august 13 1977', '1977-08-13')
(u'monday november 21 1983', '1983-11-21')
(u'tuesday november 12 1985', '1985-11-12')
(u'monday march 8 1993', '1993-03-08')
(u'9 07 10', '2010-07-09')
(u'april 14 2013', '2013-04-14')
(u'23 nov 2000', '2000-11-23')
(u'feb 1 1973', '1973-02-01')
(u'tuesday january 24 1989', '1989-01-24')
(u'19 oct 2003', '2003-10-19')
(u'4 june 2012', '2012-06-04')
(u'wednesday january 26 1977', '1977-01-26')
(u'25 may 2012', '2012-05-25')
(u'20 04 09', '2009-04-20')
(u'28 12 08', '2008-12-28')
(u'20 oct 2001', '2001-10-20')
(u'12.09.18', '2018-09-12')
(u'1 january 2006', '2006-01-01')
(u'friday june 28 1991', '1991-06-28')
(u'17.02.18', '2018-02-17')
(u'wednesday june 7 1995', '1995-06-07')
(u'26.07.17', '2017-07-26')
(u'5 oct 1997', '1997-10-05')
(u'24 dec 2007', '2007-12-24')
(u'11 may 2004', '2004-05-11')
(u'3/2/71', '1971-03-02')
(u'december 4 1975', '1975-12-04')
(u'may 17 2013', '2013-05-17')
(u'aug 1 1972', '1972-08-01')
(u'thursday may 9 1991', '1991-05-09')
(u'26 sep 1996', '1996-09-26')
(u'30 january 2012', '2012-01-30')
(u'tuesday september 23 1980', '1980-09-23')
(u'tuesday may 20 1986', '1986-05-20')
(u'22 june 2011', '2011-06-22')
(u'wednesday february 27 1991', '1991-02-27')
(u'15 may 2006', '2006-05-15')
(u'thursday december 2 1976', '1976-12-02')
(u'9 october 2004', '2004-10-09')
(u'monday december 6 1993', '1993-12-06')
(u'october 29 2016', '2016-10-29')
(u'sunday october 21 1990', '1990-10-21')
(u'friday august 26 1988', '1988-08-26')
(u'sunday february 3 1985', '1985-02-03')
(u'sunday december 2 1979', '1979-12-02')
(u'14 nov 2000', '2000-11-14')
(u'wednesday september 21 1977', '1977-09-21')
(u'monday july 1 1985', '1985-07-01')
(u'wednesday july 27 1994', '1994-07-27')
(u'19 october 2011', '2011-10-19')
(u'saturday july 5 1980', '1980-07-05')
(u'tuesday august 23 1977', '1977-08-23')
(u'february 26 2015', '2015-02-26')
(u'5 december 2004', '2004-12-05')
(u'wednesday july 6 1988', '1988-07-06')
(u'dec 4 1973', '1973-12-04')
(u'friday july 12 1985', '1985-07-12')
(u'friday april 6 1979', '1979-04-06')
(u'aug 3 1973', '1973-08-03')
(u'sunday january 12 1986', '1986-01-12')
(u'friday december 9 1988', '1988-12-09')
(u'19 september 2005', '2005-09-19')
(u'04.06.17', '2017-06-04')
(u'wednesday november 24 1982', '1982-11-24')
(u'thursday july 30 1981', '1981-07-30')
(u'tuesday june 24 1980', '1980-06-24')
(u'thursday october 5 1978', '1978-10-05')
(u'13 march 2005', '2005-03-13')
(u'20 aug 1997', '1997-08-20')
(u'friday april 21 1978', '1978-04-21')
(u'sunday october 14 1990', '1990-10-14')
(u'tuesday march 7 1989', '1989-03-07')
(u'thursday september 30 1993', '1993-09-30')
(u'12 nov 2006', '2006-11-12')
(u'24 february 2011', '2011-02-24')
(u'31 01 10', '2010-01-31')
(u'sunday june 12 1994', '1994-06-12')
(u'11 august 2006', '2006-08-11')
(u'01.04.18', '2018-04-01')
(u'may 18 2016', '2016-05-18')
(u'friday june 9 1995', '1995-06-09')
(u'30 june 2011', '2011-06-30')
(u'saturday february 26 1977', '1977-02-26')
(u'saturday january 29 1994', '1994-01-29')
(u'thursday may 6 1993', '1993-05-06')
(u'tuesday june 30 1992', '1992-06-30')
(u'6 mar 1998', '1998-03-06')
(u'october 18 2015', '2015-10-18')
(u'sunday june 8 1986', '1986-06-08')
(u'sunday november 5 1989', '1989-11-05')
(u'10 08 10', '2010-08-10')
(u'monday april 3 1995', '1995-04-03')
(u'12 sep 1996', '1996-09-12')
(u'april 12 2014', '2014-04-12')
(u'1/4/70', '1970-01-04')
(u'thursday august 8 1991', '1991-08-08')
(u'21 03 09', '2009-03-21')
(u'sunday june 11 1995', '1995-06-11')
(u'saturday october 11 1986', '1986-10-11')
(u'march 4 1975', '1975-03-04')
(u'16 may 2003', '2003-05-16')
(u'22 november 1999', '1999-11-22')
(u'monday may 24 1976', '1976-05-24')
(u'1/19/70', '1970-01-19')
(u'saturday october 7 1995', '1995-10-07')
(u'12 mar 1997', '1997-03-12')
(u'21 aug 2007', '2007-08-21')
(u'5 june 1999', '1999-06-05')
(u'8/16/71', '1971-08-16')
(u'29 apr 2004', '2004-04-29')
(u'tuesday december 31 1985', '1985-12-31')
(u'15 aug 2004', '2004-08-15')
(u'15 jun 2002', '2002-06-15')
(u'20 05 09', '2009-05-20')
(u'thursday august 11 1983', '1983-08-11')
(u'wednesday may 1 1991', '1991-05-01')
(u'sunday august 5 1990', '1990-08-05')
(u'thursday august 6 1992', '1992-08-06')
(u'friday september 26 1986', '1986-09-26')
(u'apr 2 1973', '1973-04-02')
(u'saturday june 7 1980', '1980-06-07')
(u'monday july 9 1990', '1990-07-09')
(u'saturday may 9 1981', '1981-05-09')
(u'29 sep 1997', '1997-09-29')
(u'tuesday april 7 1987', '1987-04-07')
(u'10 jun 2001', '2001-06-10')
(u'sunday april 6 1980', '1980-04-06')
(u'31 mar 1998', '1998-03-31')
(u'24 apr 1998', '1998-04-24')
(u'january 18 2016', '2016-01-18')
(u'15 jan 2007', '2007-01-15')
(u'december 19 2012', '2012-12-19')
(u'monday november 13 1995', '1995-11-13')
(u'21 dec 1996', '1996-12-21')
(u'8/26/71', '1971-08-26')
(u'sunday april 3 1994', '1994-04-03')
(u'wednesday november 27 1991', '1991-11-27')
(u'may 1 1973', '1973-05-01')
(u'sunday october 28 1990', '1990-10-28')
(u'sunday october 31 1993', '1993-10-31')
(u'saturday april 3 1993', '1993-04-03')
(u'06.11.18', '2018-11-06')
(u'dec 20 1973', '1973-12-20')
(u'wednesday december 13 1995', '1995-12-13')
(u'friday march 22 1985', '1985-03-22')
(u'friday june 13 1986', '1986-06-13')
(u'saturday may 11 1991', '1991-05-11')
(u'january 3 2014', '2014-01-03')
(u'9 september 2012', '2012-09-09')
(u'thursday march 9 1978', '1978-03-09')
(u'wednesday june 20 1984', '1984-06-20')
(u'1 june 1999', '1999-06-01')
(u'16 nov 2003', '2003-11-16')
(u'15 july 1999', '1999-07-15')
(u'tuesday november 30 1982', '1982-11-30')
(u'20 mar 2003', '2003-03-20')
(u'wednesday june 30 1993', '1993-06-30')
(u'friday september 4 1992', '1992-09-04')
(u'november 30 2014', '2014-11-30')
(u'wednesday march 23 1983', '1983-03-23')
(u'27 october 2011', '2011-10-27')
(u'10 sep 2003', '2003-09-10')
(u'4 aug 2003', '2003-08-04')
(u'monday march 23 1987', '1987-03-23')
(u'thursday march 21 1985', '1985-03-21')
(u'26 oct 2003', '2003-10-26')
(u'6 sep 1997', '1997-09-06')
(u'jun 23 1973', '1973-06-23')
(u'monday august 23 1976', '1976-08-23')
(u'18 feb 2004', '2004-02-18')
(u'2/11/71', '1971-02-11')
(u'thursday october 21 1993', '1993-10-21')
(u'june 9 1975', '1975-06-09')
(u'14 aug 2003', '2003-08-14')
(u'tuesday july 24 1984', '1984-07-24')
(u'5 may 2000', '2000-05-05')
(u'friday october 16 1987', '1987-10-16')
(u'12 04 10', '2010-04-12')
(u'10/13/71', '1971-10-13')
(u'08.09.17', '2017-09-08')
(u'1 jul 2004', '2004-07-01')
(u'4/8/70', '1970-04-08')
(u'oct 24 1973', '1973-10-24')
(u'tuesday may 25 1993', '1993-05-25')
(u'october 13 2013', '2013-10-13')
(u'monday february 2 1987', '1987-02-02')
(u'1/18/70', '1970-01-18')
(u'26 03 09', '2009-03-26')
(u'tuesday december 27 1977', '1977-12-27')
(u'monday july 13 1981', '1981-07-13')
(u'14 oct 2007', '2007-10-14')
(u'29 september 1998', '1998-09-29')
(u'december 22 2012', '2012-12-22')
(u'17 12 09', '2009-12-17')
(u'1/29/71', '1971-01-29')
(u'05 sep 2000', '2000-09-05')
(u'16 may 2008', '2008-05-16')
(u'9 nov 1997', '1997-11-09')
(u'13 mar 2008', '2008-03-13')
(u'24 mar 2004', '2004-03-24')
(u'tuesday october 10 1995', '1995-10-10')
(u'18 may 2012', '2012-05-18')
(u'30 aug 2003', '2003-08-30')
(u'sunday may 23 1982', '1982-05-23')
(u'6 nov 1997', '1997-11-06')
(u'august 10 2013', '2013-08-10')
(u'16 aug 2001', '2001-08-16')
(u'march 12 2013', '2013-03-12')
(u'september 14 1974', '1974-09-14')
(u'saturday march 28 1981', '1981-03-28')
(u'thursday february 26 1987', '1987-02-26')
(u'17 february 1999', '1999-02-17')
(u'tuesday december 18 1979', '1979-12-18')
(u'may 21 1974', '1974-05-21')
(u'25 february 2005', '2005-02-25')
(u'thursday november 26 1992', '1992-11-26')
(u'tuesday february 20 1979', '1979-02-20')
(u'13.07.17', '2017-07-13')
(u'12/30/70', '1970-12-30')
(u'1 aug 2003', '2003-08-01')
(u'february 4 2014', '2014-02-04')
(u'1 may 2006', '2006-05-01')
(u'sunday november 8 1992', '1992-11-08')
(u'monday september 21 1981', '1981-09-21')
(u'01 feb 2002', '2002-02-01')
(u'wednesday november 23 1977', '1977-11-23')
(u'july 12 2016', '2016-07-12')
(u'thursday february 22 1996', '1996-02-22')
(u'thursday february 2 1989', '1989-02-02')
(u'thursday may 7 1992', '1992-05-07')
(u'14.04.17', '2017-04-14')
(u'july 15 1975', '1975-07-15')
(u'11 may 2005', '2005-05-11')
(u'saturday january 1 1977', '1977-01-01')
(u'monday august 16 1982', '1982-08-16')
(u'sunday january 24 1982', '1982-01-24')
(u'15 dec 2002', '2002-12-15')
(u'21 nov 2000', '2000-11-21')
(u'friday september 30 1983', '1983-09-30')
(u'thursday august 3 1995', '1995-08-03')
